Transitions correctness: true

Transitions (168):
6059d4dda3465d1111ce3a1c0377fb4a13e38332eed2415803e478a772444e24: (s:21c267ef898a5960eea0d8cc0c93ea6eb54b46d154921ccbd6255d36be1f406f,t:d0e4eb7d699f24028ea9ee4f7c2d1c983489089674ff75b4f5cfc8f617910bff): [id=null, ex=0, sq=0, act=(6) open app, cp=null, txt=, exp=, tr=null] weight=1.0 ds=CS sc=null ex=0
c6e1aeb075ca61b3d7404551dc78627794e5f5dfd3ab06642a93f4777a015509: (s:21c267ef898a5960eea0d8cc0c93ea6eb54b46d154921ccbd6255d36be1f406f,t:a598c6fe46909ff6c0cb340738090717492fed6ad7423352481b0895e97c298c): [id=null, ex=0, sq=0, act=(6) open app, cp=null, txt=, exp=, tr=null] weight=2.0 ds=TR sc=null ex=0

f5480316bfbdaaa11fd4769f2cd29cc30e5fd60203306a1f7c78193c89ffe7b1: (s:a598c6fe46909ff6c0cb340738090717492fed6ad7423352481b0895e97c298c,t:9be51eca0d36ee69e694c11a0054f327497959006f2bc475aea6d00e3b4c9763): [id=0, ex=0, sq=1, act=(0) click, cp=[, ty=Button, idx=btn_save, idnx=0, tx=Next, x=540, y=1668, h=126, w=540, dsc=], txt=, exp=, tr=null] weight=2.0 ds=TR sc=org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash1_augmented.png ex=0

ad76be6a3eef3d5b06889f1d6258f005898168e9139415d2f61edb6b83d4976d: (s:9be51eca0d36ee69e694c11a0054f327497959006f2bc475aea6d00e3b4c9763,t:92984cb49dfbc8c0d9f59f030a67dad4643866f639039e877d7a569b5d539be8): [id=1, ex=0, sq=2, act=(0) click, cp=[, ty=Button, idx=btn_save, idnx=1, tx=Next, x=540, y=1668, h=126, w=540, dsc=], txt=, exp=, tr=null] weight=2.0 ds=TR sc=org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash2_augmented.png ex=0

e4c4395932e0a61da774e4c8e9ac6c96c43aeabbb0ef4d6221e23486ccb251c1: (s:92984cb49dfbc8c0d9f59f030a67dad4643866f639039e877d7a569b5d539be8,t:eedddfaf7e2d42638df9a6b787f01a33dfb47e05bce0134934941a011deeeffa): [id=2, ex=0, sq=3, act=(0) click, cp=[, ty=Button, idx=btn_save, idnx=1, tx=Next, x=540, y=1668, h=126, w=540, dsc=], txt=, exp=, tr=null] weight=2.0 ds=TR sc=org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash3_augmented.png ex=0

19551438b0cbae747d0c7f4b097d90286d3842221a793674d58295a66ffa2492: (s:eedddfaf7e2d42638df9a6b787f01a33dfb47e05bce0134934941a011deeeffa,t:eedddfaf7e2d42638df9a6b787f01a33dfb47e05bce0134934941a011deeeffa): [id=3, ex=0, sq=4, act=(0) click, cp=[, ty=CheckedTextView, idx=text1, idnx=0, tx=Automatically send crash reports, x=42, y=432, h=126, w=970, dsc=], txt=, exp=, tr=null] weight=2.0 ds=TR sc=org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash4_augmented.png ex=0
3fa792364a7563425fb7a41678e33eb0071d1b755ede4b4d7ae4a27e699d871f: (s:eedddfaf7e2d42638df9a6b787f01a33dfb47e05bce0134934941a011deeeffa,t:7dc4acd9e9e736c85106dfa72f67d69520a4acbd9a1999ae2ae4fbe97f361a6b): [id=4, ex=0, sq=5, act=(0) click, cp=[, ty=Button, idx=btn_save, idnx=1, tx=Next, x=540, y=1668, h=126, w=540, dsc=], txt=, exp=, tr=null] weight=2.0 ds=TR sc=org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash5_augmented.png ex=0

59b80e2b82c7f6be2469dcd6e5992b196f58adb5596e7c03b21f2cf9946acf31: (s:7dc4acd9e9e736c85106dfa72f67d69520a4acbd9a1999ae2ae4fbe97f361a6b,t:0d34b2ae6aceeaadad83681111614b957a1283faf7d0f04c502a81f9a5650c07): [id=5, ex=0, sq=6, act=(0) click, cp=[, ty=Button, idx=btn_save, idnx=1, tx=Done, x=540, y=1668, h=126, w=540, dsc=], txt=, exp=, tr=null] weight=2.0 ds=TR sc=org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash6_augmented.png ex=0

65bd3605b89da1abf6a703cec7652f5f4aed6419de026bb20355f208e09a96ec: (s:0d34b2ae6aceeaadad83681111614b957a1283faf7d0f04c502a81f9a5650c07,t:4bc1ae62634cddba429973fd93b9330b98a629a72e848c1e6d030a1b68e4185b): [id=6, ex=0, sq=7, act=(0) click, cp=[, ty=RelativeLayout, idx=, idnx=0, tx=, x=19, y=573, h=210, w=1042, dsc=], txt=, exp=, tr=null] weight=2.0 ds=TR sc=org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash7_augmented.png ex=0
afbe729011d4928dcbca349b0950ba6e94d81552276e5668e535782819155f59: (s:0d34b2ae6aceeaadad83681111614b957a1283faf7d0f04c502a81f9a5650c07,t:31576095c4f8e7708bfa4104cc70d60dd01c3a7f0e2cfe8a0ca5a7f233678c05): [id=10, ex=0, sq=11, act=(0) click, cp=[, ty=ImageView, idx=options_menu, idnx=4, tx=, x=935, y=431, h=126, w=126, dsc=], txt=, exp=, tr=null] weight=2.0 ds=TR sc=org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash11_augmented.png ex=0
b85529d1eb0e3e9d46195736518edae056869aba6102f7f2f1b4b79f3c79c1a2: (s:0d34b2ae6aceeaadad83681111614b957a1283faf7d0f04c502a81f9a5650c07,t:e3a496c7289cba94c7765273ad781fc8ca16ce9f2cfab762bc3cc84c1a9409e3): [id=15, ex=0, sq=16, act=(0) click, cp=[, ty=TextView, idx=, idnx=0, tx=Favorites, x=806, y=250, h=51, w=188, dsc=], txt=, exp=, tr=null] weight=2.0 ds=TR sc=org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash16_augmented.png ex=0
72c912cb06203813cb38ecd70f0153afd2db7edaa525ca237265cf75410fff80: (s:0d34b2ae6aceeaadad83681111614b957a1283faf7d0f04c502a81f9a5650c07,t:c65c1f1f81de2208b528b6440384a4f727a173cbb90c4db288970900f32ae6d7): [id=34, ex=0, sq=35, act=(0) click, cp=[, ty=ImageView, idx=options_menu, idnx=4, tx=, x=935, y=657, h=126, w=126, dsc=], txt=, exp=, tr=null] weight=2.0 ds=TR sc=org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash35_augmented.png ex=0
7146060f2512c6f752efc71647eca4d0bc13de47d89c23e78653927aa21d0e08: (s:0d34b2ae6aceeaadad83681111614b957a1283faf7d0f04c502a81f9a5650c07,t:0d34b2ae6aceeaadad83681111614b957a1283faf7d0f04c502a81f9a5650c07): [id=39, ex=0, sq=40, act=(0) click, cp=[, ty=ImageView, idx=favorite_status, idnx=2, tx=, x=935, y=347, h=126, w=126, dsc=], txt=, exp=, tr=null] weight=2.0 ds=TR sc=org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash40_augmented.png ex=0
e229cae285dadb06b6bf45ce7479af3ae7cf76137772eac2c51b1a3ef4ab6425: (s:0d34b2ae6aceeaadad83681111614b957a1283faf7d0f04c502a81f9a5650c07,t:8f18146953d4db4858950a275821692f81b0e50c867b68dd4d8fc7ef7978a3d2): [id=40, ex=0, sq=41, act=(0) click, cp=[, ty=ActionBar$Tab, idx=, idnx=2, tx=, x=720, y=213, h=126, w=360, dsc=], txt=, exp=, tr=null] weight=2.0 ds=TR sc=org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash41_augmented.png ex=0
70592299431dbf48b2378b1f273585dd18d68d616be998f19b282928c2706006: (s:0d34b2ae6aceeaadad83681111614b957a1283faf7d0f04c502a81f9a5650c07,t:88bedf63bd63a5a4fd56cdb60d2b0f362177e88f3caa8e971fa2d3afb2865d9a): [id=8, ex=0, sq=9, act=(0) click, cp=[, ty=RelativeLayout, idx=, idnx=0, tx=, x=19, y=347, h=210, w=1042, dsc=], txt=, exp=, tr=null] weight=3.0 ds=TR sc=org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash43_augmented.png ex=0
c10b71ea5e1cd4b38fbb6b6ef3dab285fccf3b29607c11cce2ba07005a0f6309: (s:0d34b2ae6aceeaadad83681111614b957a1283faf7d0f04c502a81f9a5650c07,t:4c598103d67f55840226b9c26c2a5fb6d9b69ea3b2faeb6064938eb79df27d57): [id=76, ex=0, sq=77, act=(0) click, cp=[, ty=ImageView, idx=options_menu, idnx=4, tx=, x=935, y=1109, h=126, w=126, dsc=], txt=, exp=, tr=null] weight=2.0 ds=TR sc=org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash77_augmented.png ex=0
282eb94b004538810e82115d29818175c3f624db6554ee6bc66241731870bf4e: (s:0d34b2ae6aceeaadad83681111614b957a1283faf7d0f04c502a81f9a5650c07,t:7e701bea3fa9959908f00aeb4ca4cf6005f2d8ed88f3fbca4ac5006099db3a52): [id=81, ex=0, sq=82, act=(0) click, cp=[, ty=ImageButton, idx=fab_create_account, idnx=2, tx=, x=880, y=1594, h=147, w=147, dsc=], txt=, exp=, tr=null] weight=2.0 ds=TR sc=org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash82_augmented.png ex=0

28459593a6ff1f62f7813f07c2d28474f8b08a234249904fbded0b9c49fe539d: (s:7e701bea3fa9959908f00aeb4ca4cf6005f2d8ed88f3fbca4ac5006099db3a52,t:d4e1fc7b2d1cf6c3030008627a247aa7b2dadfd33ab2f638fb95070f7062226a): [id=59, ex=0, sq=60, act=(0) click, cp=[, ty=TextView, idx=text1, idnx=0, tx=USD - US Dollar, x=260, y=475, h=57, w=325, dsc=], txt=, exp=, tr=null] weight=2.0 ds=TR sc=org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash60_augmented.png ex=0
c7e2fbe1346c86323c65ddf9dd47bec13a007a2f9e3a8e2d984d87562aaf20c1: (s:7e701bea3fa9959908f00aeb4ca4cf6005f2d8ed88f3fbca4ac5006099db3a52,t:7e701bea3fa9959908f00aeb4ca4cf6005f2d8ed88f3fbca4ac5006099db3a52): [id=68, ex=0, sq=69, act=(5) type, cp=[, ty=EditText, idx=input_account_name, idnx=0, tx=, x=26, y=268, h=126, w=1028, dsc=], txt=, exp=, tr=null] weight=2.0 ds=TR sc=org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash69_augmented.png ex=0
25d8bcfabaad640badd4c9e36922a1ea5b856185ecbc870ea5c625cab5652a05: (s:7e701bea3fa9959908f00aeb4ca4cf6005f2d8ed88f3fbca4ac5006099db3a52,t:ddbdee487465d14bc34b5f19129a0d8a8aa5316763ea2d0fff2916b5e3a64bec): [id=69, ex=0, sq=70, act=(0) click, cp=[, ty=TextView, idx=menu_save, idnx=0, tx=Save, x=937, y=76, h=126, w=143, dsc=Save], txt=, exp=, tr=null] weight=2.0 ds=TR sc=org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash70_augmented.png ex=0
399baaaacfc1c5a54fa73ea35ccf03837527b8aac491a1c764671c592e77704d: (s:7e701bea3fa9959908f00aeb4ca4cf6005f2d8ed88f3fbca4ac5006099db3a52,t:7e701bea3fa9959908f00aeb4ca4cf6005f2d8ed88f3fbca4ac5006099db3a52): [id=82, ex=0, sq=83, act=(2) swipe, cp=null, txt=, exp=, tr=null] weight=2.0 ds=TR sc=org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash83_augmented.png ex=0
85edab7531b569533bc3fedc6cad8666ddc1b453cbd4f921e5bce1343bb5be31: (s:7e701bea3fa9959908f00aeb4ca4cf6005f2d8ed88f3fbca4ac5006099db3a52,t:e65ccf846dc2f7fa86568ed3840151e2c49cfb22c060b9d2af763c58326b5b88): [id=83, ex=0, sq=84, act=(0) click, cp=[, ty=TextView, idx=text1, idnx=0, tx=CASH, x=178, y=678, h=126, w=834, dsc=], txt=, exp=, tr=null] weight=2.0 ds=TR sc=org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash84_augmented.png ex=0
0408cd88ad601ebbd315b139207daafc321b10191eb43533fdb43d645c2eca1b: (s:7e701bea3fa9959908f00aeb4ca4cf6005f2d8ed88f3fbca4ac5006099db3a52,t:39d5d97f59c7df026e01e9d0a9a3defc9fbc6e313a433ee8a28da891e5179b20): [id=87, ex=0, sq=88, act=(0) click, cp=[, ty=ImageButton, idx=, idnx=0, tx=, x=0, y=66, h=147, w=147, dsc=Navigate up], txt=, exp=, tr=null] weight=2.0 ds=TR sc=org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash88_augmented.png ex=0

10ec44d9db12ed13b1d3ba30ed90239d312416485bfe87d54872df3a77c82b66: (s:39d5d97f59c7df026e01e9d0a9a3defc9fbc6e313a433ee8a28da891e5179b20,t:fc78241f48b57ee7311cd7caeb53b54d0eef11070a66a8735d38a082269a4ac7): [id=88, ex=0, sq=89, act=(0) click, cp=[, ty=ImageButton, idx=, idnx=0, tx=, x=0, y=66, h=147, w=147, dsc=Navigation drawer opened], txt=, exp=, tr=null] weight=2.0 ds=TR sc=org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash89_augmented.png ex=0

4399f17f47a859d7bd1d6c36be4e84c5f7471224d3d4f2189f6961322ce51983: (s:fc78241f48b57ee7311cd7caeb53b54d0eef11070a66a8735d38a082269a4ac7,t:f7fa80abb6bba3037ad35bfceb9fdf9b1b511b804a4d32c068f6885883f07a80): [id=89, ex=0, sq=90, act=(0) click, cp=[, ty=CheckedTextView, idx=design_menu_item_text, idnx=0, tx=Reports, x=42, y=752, h=126, w=651, dsc=], txt=, exp=, tr=null] weight=2.0 ds=TR sc=org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash90_augmented.png ex=0

f3f4065deaa2e20d573912c0fc94562734c344fd2d9d546c982d626965c157a1: (s:f7fa80abb6bba3037ad35bfceb9fdf9b1b511b804a4d32c068f6885883f07a80,t:fcf437d4068b2920f6182303f29485154cf6d2ca6afc9207f2a0453b1db793e5): [id=19, ex=0, sq=20, act=(0) click, cp=[, ty=ImageButton, idx=, idnx=0, tx=, x=0, y=66, h=147, w=147, dsc=Navigation drawer opened], txt=, exp=, tr=null] weight=2.0 ds=TR sc=org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash20_augmented.png ex=0
4a1b83b16806e14beb2df64d1f4e4deae2288ba727b87a71c1f43ba9dfa35e39: (s:f7fa80abb6bba3037ad35bfceb9fdf9b1b511b804a4d32c068f6885883f07a80,t:f7fa80abb6bba3037ad35bfceb9fdf9b1b511b804a4d32c068f6885883f07a80): [id=21, ex=0, sq=22, act=(0) click, cp=[, ty=View, idx=pie_chart, idnx=0, tx=, x=26, y=580, h=656, w=1028, dsc=], txt=, exp=, tr=null] weight=4.0 ds=TR sc=org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash24_augmented.png ex=0
