date,participant,app_name,app_version,session_id,record_type,num_options,num_selected_options
08/05/2021 18:22:58,P3,ATimeTracker,0.20,e6328e3b-0b63-4e65-ab02-977f8b6875a4,S2R_MISSING,2,2
08/05/2021 19:28:53,P2,Mileage,3.1.1,12db1054-5db1-49c8-b6f7-65908d0d10de,S2R_PREDICT,6,2
08/05/2021 21:18:31,P3,ATimeTracker,0.20,68d47ee8-2bfb-41ab-907e-510b5c25796d,S2R_MISSING,2,2
08/05/2021 22:21:31,P5,AntennaPod,1.6.2.3,66a95adb-bc34-4759-ae3a-796ba19fd83d,S2R_MISSING,3,2
08/05/2021 22:23:34,P5,AntennaPod,1.6.2.3,66a95adb-bc34-4759-ae3a-796ba19fd83d,S2R_MISSING,2,1
08/05/2021 22:27:51,P4,Grow Tracker,2.3.1,a1b233ef-ec5d-4853-88f3-bc6cf04b6026,S2R_PREDICT,4,2
08/05/2021 22:28:01,P4,Grow Tracker,2.3.1,a1b233ef-ec5d-4853-88f3-bc6cf04b6026,S2R_PREDICT,2,2
08/05/2021 22:28:08,P4,Grow Tracker,2.3.1,a1b233ef-ec5d-4853-88f3-bc6cf04b6026,S2R_PREDICT,2,0
08/06/2021 16:29:26,P3,Mileage,3.1.1,b4ac8c89-ed99-47b5-946b-1c8f74378743,S2R_PREDICT,5,0
08/06/2021 16:34:19,P3,Mileage,3.1.1,d84f4932-3d93-4ddc-ab90-d05fc1b8e819,S2R_MISSING,1,1
08/06/2021 16:34:48,P3,Mileage,3.1.1,d84f4932-3d93-4ddc-ab90-d05fc1b8e819,S2R_PREDICT,5,0
08/06/2021 16:35:24,P3,Mileage,3.1.1,d84f4932-3d93-4ddc-ab90-d05fc1b8e819,S2R_MISSING,6,5
08/06/2021 16:37:16,P3,Mileage,3.1.1,71b7901e-4e97-4a56-891f-a8e9629df44d,S2R_MISSING,1,1
08/06/2021 16:37:45,P3,Mileage,3.1.1,71b7901e-4e97-4a56-891f-a8e9629df44d,S2R_PREDICT,5,0
08/06/2021 16:38:11,P3,Mileage,3.1.1,71b7901e-4e97-4a56-891f-a8e9629df44d,S2R_MISSING,6,5
08/06/2021 17:09:21,P2,GnuCash,2.1.3,25e04686-5c11-4b81-b83c-c9b4b50917de,S2R_MISSING,1,1
08/06/2021 17:09:46,P2,GnuCash,2.1.3,25e04686-5c11-4b81-b83c-c9b4b50917de,S2R_MISSING,1,0
08/06/2021 17:10:19,P2,GnuCash,2.1.3,25e04686-5c11-4b81-b83c-c9b4b50917de,S2R_MISSING,1,0
08/06/2021 17:13:18,P2,GnuCash,2.1.3,25e04686-5c11-4b81-b83c-c9b4b50917de,S2R_MISSING,1,1
08/06/2021 17:15:01,P2,GnuCash,2.1.3,25e04686-5c11-4b81-b83c-c9b4b50917de,S2R_PREDICT,4,0
08/06/2021 17:15:09,P2,GnuCash,2.1.3,25e04686-5c11-4b81-b83c-c9b4b50917de,S2R_PREDICT,5,0
08/06/2021 17:15:18,P2,GnuCash,2.1.3,25e04686-5c11-4b81-b83c-c9b4b50917de,S2R_PREDICT,5,0
08/06/2021 17:16:14,P2,GnuCash,2.1.3,25e04686-5c11-4b81-b83c-c9b4b50917de,S2R_MISSING,5,1
