"scenario";"sntc_type";"sequence";"subject";"negation";"action";"object";"preposition";"object2";"parsing_class";"original_stnc";"sntc_id";"trace"
"1";"SR";"1";"user";"";"click";"next";;;"ImperativeSequencePP";"click done";"1.7";""
"1";"SR";"2";"user";"";"click";"next";;;"ImperativeSequencePP";"click done";"1.7";""
"1";"SR";"3";"user";"";"click";"next";;;"ImperativeSequencePP";"click done";"1.7";""
"1";"SR";"4";"user";"";"choose";""disable crash reports"";;;"ImperativeSequencePP";"";"1.5";""
"1";"SR";"5";"user";"";"click";"next";;;"ImperativeSequencePP";"click done";"1.7";""
"1";"SR";"6";"user";"";"click";"done";;;"ImperativeSequencePP";"click done";"1.7";""
"1";"SR";"7";"user";"";"click";"Assets";;;"ImperativeSequencePP";"click done";"1.7";""
"1";"SR";"8";"user";"";"click";"Current Assets";;;"ImperativeSequencePP";"click done";"1.7";""
"1";"SR";"9";"user";"";"click";"create transaction";;;"ImperativeSequencePP";"click done";"1.7";""
"1";"SR";"10";"user";"";"type";"test";"on";"description";"ImperativeSequencePP";"click done";"1.7";""
"1";"SR";"11";"user";"";"type";"10";"on";"amount";"ImperativeSequencePP";"click done";"1.7";""
"1";"SR";"12";"user";"";"click";"Save";;;"ImperativeSequencePP";"click done";"1.7";""
