"scenario";"sntc_type";"sequence";"subject";"negation";"action";"object";"preposition";"object2";"parsing_class";"original_stnc";"sntc_id";"trace"
"1";"SR";"1";"user";"";"open";"application";;;"ImperativeSequencePP";"Open the application";"1.1";""
"1";"SR";"2";"user";"";"click";;"to";"pdf file";"ImperativeSequencePP";"click to pdf file";"1.2";""
"1";"SR";"3";"user";"";"scroll down";;;;"ImperativeSequencePP";"scroll down fast";"1.3";""
"1";"SR";"4";"user";"";"scroll down";;;;"ImperativeSequencePP";"scroll down slowly";"1.4";""
"1";"SR";"5";"user";"";"click";"preferences";;;"ImperativeSequencePP";"click the preferences icon";"1.5";""
"1";"SR";"6";"user";"";"select";""configure taps"";;;"ImperativeSequencePP";"select "configure taps"";"1.6";""
"1";"SR";"7";"user";"";"drag";;"on";"regions";"ImperativeSequencePP";"drag on all regions of the screen";"1.7";""
"1";"SR";"8";"user";"";"click";"delete";;;"ImperativeSequencePP";"click delete";"1.8";""
"1";"SR";"9";"user";"";"click";"delete";;;"ImperativeSequencePP";"click delete";"1.9";""
"1";"SR";"10";"user";"";"click";"delete";;;"ImperativeSequencePP";"click delete";"1.10";""
"1";"SR";"11";"user";"";"click";"delete";;;"ImperativeSequencePP";"click delete";"1.11";""
"1";"SR";"12";"user";"";"click";"delete";;;"ImperativeSequencePP";"click delete";"1.12";""
"1";"SR";"13";"user";"";"click";"delete";;;"ImperativeSequencePP";"click delete";"1.13";""
"1";"SR";"14";"user";"";"click";;"outside";"poup window";"ImperativeSequencePP";"click outside the poup window";"1.14";""
"1";"SR";"15";"user";"";"click";"back button";;;"ImperativeSequencePP";"click the back button (android)";"1.15";""
"1";"SR";"16";"user";"";"scroll down";;;;"ImperativeSequencePP";"scroll down fast";"1.16";""
"1";"SR";"17";"user";"";"scroll down";;;;"ImperativeSequencePP";"scroll down slowly";"1.17";""
