"scenario";"sntc_type";"sequence";"subject";"negation";"action";"object";"preposition";"object2";"parsing_class";"original_stnc";"sntc_id";"trace"
"1";"SR";"1";"user";"";"open";"application";;;"ImperativeSequencePP";"Open the application";"1.1";""
"1";"SR";"2";"user";"";"click";"new game";;;"ImperativeSequencePP";"click new game";"1.2";""
"1";"SR";"3";"user";"";"enter";"new player";;;"ImperativeSequencePP";"enter player name (type here to add new player)";"1.3";""
"1";"SR";"4";"user";"";"click";"add";;;"ImperativeSequencePP";"click add";"1.4";""
"1";"SR";"5";"user";"";"set";"maximum score BLANK";;;"ImperativeSequencePP";"set maximum score BLANK";"1.5";""
"1";"OB";"6";"app";"";"set";"maximum score BLANK";;;"NegativeAdjOrAdvPP";"set maximum score BLANK";"1.5";""
"1";"SR";"7";"user";"";"select";"win";;;"ImperativeSequencePP";"select win";"1.6";""
"1";"SR";"8";"user";"";"click";"start game";;;"ImperativeSequencePP";"click start game";"1.7";""
"1";"OB";"9";"app";"";"crash";;;;"ErrorNounPhrasePP";"the app crashes";"1.8";""
"1";"OB";"10";"app";"";"crash";;;;"NegativeVerbPP";"the app crashes";"1.8";""
