"scenario";"sntc_type";"sequence";"subject";"negation";"action";"object";"preposition";"object2";"parsing_class";"original_stnc";"sntc_id";"trace"
"1";"SR";"1";"user";"";"open";"application";;;"ImperativeSequencePP";"Open the application";"1.1";""
"1";"SR";"2";"user";"";"click";;"on";""Create a car"";"ImperativeSequencePP";"Click on "Create a car"";"1.2";""
"1";"SR";"3";"user";"";"type";""Golf"";"as";"car name";"ImperativeSequencePP";"Type "Golf" as car name";"1.3";""
"1";"SR";"4";"user";"";"click";;"on";""Done"";"ImperativeSequencePP";"Click on "Done"";"1.4";""
"1";"SR";"5";"user";"";"click";;"on";"more options";"ImperativeSequencePP";"Click on top-right menu";"1.5";""
"1";"SR";"6";"user";"";"click";;"on";""add other expenditures"";"ImperativeSequencePP";"Click on "add other expenditures"";"1.6";""
"1";"SR";"7";"user";"";"input";""battery"";"in";"title";"ImperativeSequencePP";"Input "battery" in the title";"1.7";""
"1";"SR";"8";"user";"";"input";"81.50";"in";"price";"ImperativeSequencePP";"input 81.50 in the price";"1.8";""
"1";"SR";"9";"user";"";"click on";"done";;;"ImperativeSequencePP";"Click on done";"1.9";""
"1";"SR";"10";"user";"";"click";;"on";"+ button";"ImperativeSequencePP";"Click on + button";"1.10";""
"1";"SR";"11";"user";"";"click";;"on";"price";"ImperativeSequencePP";"Click on price and type 76.43";"1.11";""
"1";"SR";"12";"user";"";"type";"76.43";;;"ImperativeSequencePP";"Click on price and type 76.43";"1.11";""
"1";"SR";"13";"user";"";"click";;"on";"distance";"ImperativeSequencePP";"Click on distance and type 10";"1.12";""
"1";"SR";"14";"user";"";"type";"10";;;"ImperativeSequencePP";"Click on distance and type 10";"1.12";""
"1";"SR";"15";"user";"";"click";;"on";"volume";"ImperativeSequencePP";"Click on volume and type 10";"1.13";""
"1";"SR";"16";"user";"";"type";"10";;;"ImperativeSequencePP";"Click on volume and type 10";"1.13";""
"1";"SR";"17";"user";"";"click on";"done";;;"ImperativeSequencePP";"Click on done";"1.14";""
"1";"SR";"18";"user";"";"scroll down";;"on";"costs";"ImperativeSequencePP";"Scroll down on costs";"1.15";""
"1";"SR";"19";"user";"";"click";;"on";"more options";"ImperativeSequencePP";"Click on top-right menu";"1.17";""
"1";"SR";"20";"user";"";"click";;"on";""other expenditures"";"ImperativeSequencePP";"Click on "other expenditures"";"1.18";""
"1";"SR";"21";"user";"";"input";""boh"";"on";"cost title";"ImperativeSequencePP";"Input "boh" on cost title";"1.19";""
"1";"SR";"22";"user";"";"input";"price";;;"ImperativeSequencePP";"input 100 on price";"1.20";""
"1";"SR";"23";"user";"";"click on";"done";;;"ImperativeSequencePP";"Click on done";"1.21";""
"1";"SR";"24";"user";"";"click";;"on";"more options";"ImperativeSequencePP";"Click on top-right menu";"1.22";""
"1";"SR";"25";"user";"";"click";;"on";""other expenditures"";"ImperativeSequencePP";"Click on "other expenditures"";"1.23";""
"1";"SR";"26";"user";"";"input";""boh2"";"on";"cost title";"ImperativeSequencePP";"Input "boh2" on cost title";"1.24";""
"1";"SR";"27";"user";"";"input";"price";;;"ImperativeSequencePP";"input 100 on price";"1.25";""
"1";"SR";"28";"user";"";"click on";"done";;;"ImperativeSequencePP";"Click on done";"1.26";""
"1";"SR";"29";"user";"";"scroll down";;"on";"costs";"ImperativeSequencePP";"Scroll down on costs";"1.27";""
"1";"SR";"30";"user";"";"scroll up";;;;"ImperativeSequencePP";"Scroll up";"1.29";""
"1";"SR";"31";"user";"";"click on";"+";;;"ImperativeSequencePP";"Click on +";"1.30";""
"1";"SR";"32";"user";"";"click";;"on";"price";"ImperativeSequencePP";"Click on price and type 500";"1.31";""
"1";"SR";"33";"user";"";"type";"500";;;"ImperativeSequencePP";"Click on price and type 500";"1.31";""
"1";"SR";"34";"user";"";"click";;"on";"distance";"ImperativeSequencePP";"Click on distance and type 100";"1.32";""
"1";"SR";"35";"user";"";"type";"100";;;"ImperativeSequencePP";"Click on distance and type 100";"1.32";""
"1";"SR";"36";"user";"";"click";;"on";"volume";"ImperativeSequencePP";"Click on volume and type 10";"1.33";""
"1";"SR";"37";"user";"";"type";"10";;;"ImperativeSequencePP";"Click on volume and type 10";"1.33";""
"1";"SR";"38";"user";"";"click on";"done";;;"ImperativeSequencePP";"Click on done";"1.34";""
"1";"SR";"39";"user";"";"scroll down";;"on";"costs";"ImperativeSequencePP";"Scroll down on costs";"1.35";""
