"scenario";"sntc_type";"sequence";"subject";"negation";"action";"object";"preposition";"object2";"parsing_class";"original_stnc";"sntc_id";"trace"
"1";"SR";"1";"user";"";"open";"application";;;"ImperativeSequencePP";"Open the application";"1.1";""
"1";"SR";"2";"user";"";"click";"next";;;"ImperativeSequencePP";"click next";"1.2";""
"1";"SR";"3";"user";"";"click";"next";;;"ImperativeSequencePP";"click next";"1.3";""
"1";"SR";"4";"user";"";"click";"next";;;"ImperativeSequencePP";"click next";"1.4";""
"1";"SR";"5";"user";"";"choose";""automatically send crash reports"";;;"ImperativeSequencePP";"choose "automatically send crash reports"";"1.5";""
"1";"OB";"6";"app";"";"choose";""automatically send crash reports"";;;"VerbErrorPP";"choose "automatically send crash reports"";"1.5";""
"1";"SR";"7";"user";"";"click";"next";;;"ImperativeSequencePP";"click next";"1.6";""
"1";"SR";"8";"user";"";"click";"done";;;"ImperativeSequencePP";"click done";"1.7";""
"1";"SR";"9";"user";"";"click";"Menu";"on";"top left";"ImperativeSequencePP";"click Menu on the top left";"1.8";""
"1";"SR";"10";"user";"";"click";"export";;;"ImperativeSequencePP";"click export...";"1.9";""
"1";"SR";"11";"user";"";"click";;"on";""tap to create schedule"";"ImperativeSequencePP";"click on "tap to create schedule"";"1.10";""
"1";"SR";"12";"user";"";"click";;"on";"switch";"ImperativeSequencePP";"click on the slider to activate the schedule";"1.11";""
"1";"SR";"13";"user";"";"click";"Mon";;;"ImperativeSequencePP";"click the current selected day";"1.12";""
"1";"SR";"14";"user";"";"click";"Tues";;;"ImperativeSequencePP";"click another day";"1.13";""
"1";"SR";"15";"user";"";"click";"ok";;;"ImperativeSequencePP";"click ok";"1.14";""
"1";"SR";"16";"user";"";"click";"export";;;"ImperativeSequencePP";"click export";"1.15";""
"1";"SR";"17";"user";"";"click";"Menu";"on";"top left";"ImperativeSequencePP";"click Menu on the top right";"1.16";""
"1";"SR";"18";"user";"";"click";"scheduled transactions";;;"ImperativeSequencePP";"click scheduled transactions";"1.17";""
"1";"SR";"19";"user";"";"click";"exports";;;"ImperativeSequencePP";"click the exports tab";"1.18";""
