"scenario";"sntc_type";"sequence";"subject";"negation";"action";"object";"preposition";"object2";"parsing_class";"original_stnc";"sntc_id";"trace"
"1";"SR";"1";"user";"";"open";"application";;;"ImperativeSequencePP";"Open the application";"1.1";""
"1";"SR";"2";"user";"";"click";"ok";;;"ImperativeSequencePP";"click ok to close the popup";"1.2";""
"1";"SR";"3";"user";"";"click";"menu button";;;"ImperativeSequencePP";"Click menu button";"1.3";""
"1";"SR";"4";"user";"";"click";"add task";;;"ImperativeSequencePP";"Click add task";"1.4";""
"1";"SR";"5";"user";"";"type";""do this"";"in";"task name";"ImperativeSequencePP";"Type "do this" in the task name";"1.5";""
"1";"SR";"6";"user";"";"click";"add task";"in";"task name";"ImperativeSequencePP";"Type "do this" in the task name";"1.5";""
"1";"SR";"7";"user";"";"click";"menu button";;;"ImperativeSequencePP";"click menu button";"1.6";""
"1";"SR";"8";"user";"";"click";"More...";;;"ImperativeSequencePP";"click more...";"1.7";""
"1";"SR";"9";"user";"";"click";"export view";"to";"CSV";"ImperativeSequencePP";"click export view to CSV";"1.8";""
"1";"SR";"10";"user";"";"click";"ok";;;"ImperativeSequencePP";"click ok to close popup";"1.9";""
"1";"OB";"11";"popup";"";"show";""Successfully exported csv to memory card as timetracker.db"";;;"OutputVerbPP";"the popup shows "Successfully exported csv to memory card as timetracker.db"";"1.10";""
"1";"SR";"12";"user";"";"change";"orientation";"to";"landscape";"ImperativeSequencePP";"change orientation to landscape";"1.11";""
"1";"SR";"13";"user";"";"click";"menu button";;;"ImperativeSequencePP";"click menu button";"1.12";""
"1";"SR";"14";"user";"";"click";"more...";;;"ImperativeSequencePP";"click more...";"1.13";""
"1";"SR";"15";"user";"";"click";"export view";"to";"CSV";"ImperativeSequencePP";"click export view to CSV";"1.14";""
"1";"OB";"16";"popup";"not";"show";""Successfully exported csv to memory card as timetracker.db"";;;"NegativeAuxVerbPP";"the popup does not show "Successfully exported csv to memory card as timetracker.db"";"1.15";""
"1";"OB";"17";"popup";"not";"show";""Successfully exported csv to memory card as timetracker.db"";;;"OutputVerbPP";"the popup does not show "Successfully exported csv to memory card as timetracker.db"";"1.15";""
