"scenario";"sntc_type";"sequence";"subject";"negation";"action";"object";"preposition";"object2";"parsing_class";"original_stnc";"sntc_id";"trace"
"1";"SR";"1";"user";"";"open";"application";;;"ImperativeSequencePP";"Open the application";"1.1";""
"1";"SR";"2";"user";"";"click";"next";;;"ImperativeSequencePP";"click next";"1.2";""
"1";"SR";"3";"user";"";"click";"next";;;"ImperativeSequencePP";"click next";"1.3";""
"1";"SR";"4";"user";"";"click";"next";;;"ImperativeSequencePP";"click next";"1.4";""
"1";"SR";"5";"user";"";"choose";""automatically send crash reports"";;;"ImperativeSequencePP";"choose "automatically send crash reports"";"1.5";""
"1";"OB";"6";"app";"";"choose";""automatically send crash reports"";;;"VerbErrorPP";"choose "automatically send crash reports"";"1.5";""
"1";"SR";"7";"user";"";"click";"next";;;"ImperativeSequencePP";"click next";"1.6";""
"1";"SR";"8";"user";"";"click";"done";;;"ImperativeSequencePP";"click done";"1.7";""
"1";"SR";"9";"user";"";"click";"Menu";"on";"top left";"ImperativeSequencePP";"click Menu on the top left";"1.8";""
"1";"SR";"10";"user";"";"click";"reports";;;"ImperativeSequencePP";"click reports";"1.9";""
"1";"SR";"11";"user";"";"click";"line chart";;;"ImperativeSequencePP";"click line chart";"1.10";""
"1";"SR";"12";"user";"";"click";"date spinner";;;"ImperativeSequencePP";"click date spinner";"1.11";""
"1";"SR";"13";"user";"";"click";""custom range"";;;"ImperativeSequencePP";"click "custom range"";"1.12";""
"1";"OB";"14";"app";"";"crash";;;;"ErrorNounPhrasePP";"the app crashes";"1.13";""
"1";"OB";"15";"app";"";"crash";;;;"NegativeVerbPP";"the app crashes";"1.13";""
