"scenario";"sntc_type";"sequence";"subject";"negation";"action";"object";"preposition";"object2";"parsing_class";"original_stnc";"sntc_id";"trace"
"1";"SR";"1";"user";"";"open";"application";;;"ImperativeSequencePP";"Open the application";"1.1";""
"1";"SR";"2";"user";"";"enter";"102.9";"for";"price";"ImperativeSequencePP";"enter 102.9 for price per gallons";"1.2";""
"1";"SR";"3";"user";"";"enter";"5 gallons";"of";"gas";"ImperativeSequencePP";"enter 5 gallons of gas";"1.3";""
"1";"SR";"4";"user";"";"enter";"15";"for";"odometer";"ImperativeSequencePP";"enter 15 for odometer";"1.4";""
"1";"SR";"5";"user";"";"click";"save fillup";;;"ImperativeSequencePP";"click save fillup";"1.5";""
"1";"SR";"6";"user";"";"go";;"to";"statistics";"ImperativeSequencePP";"go to statistics";"1.6";""
"1";"SR";"7";"user";"";"go";;"to";"fillup tab";"ImperativeSequencePP";"go to fillup tab";"1.7";""
"1";"SR";"8";"user";"";"enter";"12.9";"for";"price";"ImperativeSequencePP";"enter 12.9 for price per gallons";"1.8";""
"1";"SR";"9";"user";"";"enter";"5 gallons";"of";"gas";"ImperativeSequencePP";"enter 5 gallons of gas";"1.9";""
"1";"SR";"10";"user";"";"enter";"15";"for";"odometer";"ImperativeSequencePP";"enter 15 for odometer";"1.10";""
"1";"SR";"11";"user";"";"click";"save fillup";;;"ImperativeSequencePP";"click save fillup";"1.11";""
"1";"SR";"12";"user";"";"go";;"to";"statistics";"ImperativeSequencePP";"go to statistics";"1.12";""
"1";"SR";"13";"user";"";"go";;"to";"history";"ImperativeSequencePP";"go to history";"1.14";""
"1";"SR";"14";"user";"";"click";"first fillup";;;"ImperativeSequencePP";"click the first fillup (the one costing 102.9)";"1.15";""
"1";"SR";"15";"user";"";"change";"price";"per";"gallons";"ImperativeSequencePP";"change the price per gallons from 102.9 to 1.00";"1.16";""
"1";"SR";"16";"user";"";"save";"changes";;;"ImperativeSequencePP";"save changes";"1.17";""
"1";"SR";"17";"user";"";"go";;"to";"statistics";"ImperativeSequencePP";"go to statistics";"1.18";""
